"","ID","sexage","events2019-celanoc","events2020-celanoc","events2021-celanoc","events2019","events2020","events2021","events","events-celanoc","minutes2019","minutes2020","minutes2021","minutes","inter2019","inter2020","inter2021","interactions","years","days2019","days2020","days2021","days","interactions_relative","activity_relative","interactions2s","interactions5s","interactions10s","index1","index2"
"226","ID324","JUV",NA,54,NA,NA,54,NA,54,54,NA,44.82,NA,NA,NA,1,NA,1,1,NA,2,NA,2,0.5,27,0,0,1,54,100.804265202703
"227","ID325","JUV",NA,55,NA,NA,36,NA,36,55,NA,2.38,NA,NA,NA,75,NA,75,1,NA,6,NA,6,12.5,9.16666666666667,13,31,75,1.125,-4.9457347972973
"228","ID326","JUV",NA,122,NA,NA,111,NA,111,122,NA,14.2,NA,NA,NA,280,NA,280,1,NA,8,NA,8,35,15.25,45,111,280,0.991071428571429,-5.21359194015444
"229","ID327","JUV",NA,146,NA,NA,105,NA,105,146,NA,62.78,NA,NA,NA,181,NA,181,1,NA,11,NA,11,16.4545454545455,13.2727272727273,45,84,181,1.23529411764706,-4.72514656200318
"230","ID328","JUV",NA,37,NA,NA,16,NA,16,37,NA,0.3,NA,NA,NA,11,NA,11,1,NA,4,NA,4,2.75,9.25,1,7,11,2,-3.1957347972973
"231","ID329","JUV",NA,189,NA,NA,111,NA,111,189,NA,136.1,NA,NA,NA,178,NA,178,1,NA,5,NA,5,35.6,37.8,29,79,178,1.3875,-4.4207347972973
"232","ID330","JUV",NA,833,NA,NA,141,NA,141,833,NA,72.86,NA,NA,NA,122,NA,122,1,NA,10,NA,10,12.2,83.3,18,53,122,2.61111111111111,-1.97351257507508
"233","ID331","JUV",NA,146,NA,NA,132,NA,132,146,NA,100.02,NA,NA,NA,34,NA,34,1,NA,10,NA,10,3.4,14.6,5,13,34,9.42857142857143,11.6614080598456
"234","ID332","FAO",NA,16,NA,NA,4,NA,4,16,NA,0.07,NA,NA,NA,0,NA,0,1,NA,3,NA,3,0,5.33333333333333,0,0,0,4,0.804265202702703
"235","ID333","JUV",NA,39,NA,NA,36,NA,36,39,NA,43.8,NA,NA,NA,25,NA,25,1,NA,6,NA,6,4.16666666666667,6.5,2,10,25,3.27272727272727,-0.650280251842752
"236","ID334","FAY",NA,NA,79,NA,NA,70,70,79,NA,NA,1.38,NA,NA,NA,54,54,1,NA,NA,26,26,2.07692307692308,3.03846153846154,9,29,54,2.33333333333333,-2.52906813063063
"237","ID335","JUV",NA,44,NA,NA,20,NA,20,44,NA,1.4,NA,NA,NA,42,NA,42,1,NA,6,NA,6,7,7.33333333333333,6,15,42,1.25,-4.6957347972973
"238","ID336","JUV",NA,296,NA,NA,196,NA,196,296,NA,45.58,NA,NA,NA,319,NA,319,1,NA,13,NA,13,24.5384615384615,22.7692307692308,48,147,319,1.32432432432432,-4.54708614864865
"239","ID337","JUV",NA,1,NA,NA,1,NA,1,1,NA,0.02,NA,NA,NA,1,NA,1,1,NA,1,NA,1,1,1,0,1,1,0.5,-6.1957347972973
"240","ID338","FAO",NA,6,NA,NA,6,NA,6,6,NA,5.38,NA,NA,NA,0,NA,0,1,NA,1,NA,1,0,6,0,0,0,6,4.8042652027027
"241","ID339","JUV",NA,45,NA,NA,17,NA,17,45,NA,7.17,NA,NA,NA,49,NA,49,1,NA,2,NA,2,24.5,22.5,5,19,49,0.85,-5.4957347972973
"242","ID340","JUV",NA,35,NA,NA,22,NA,22,35,NA,3.22,NA,NA,NA,80,NA,80,1,NA,3,NA,3,26.6666666666667,11.6666666666667,16,32,80,0.666666666666667,-5.86240146396396
"243","ID341","JUV",NA,68,NA,NA,43,NA,43,68,NA,1.4,NA,NA,NA,52,NA,52,1,NA,7,NA,7,7.42857142857143,9.71428571428571,7,20,52,2.04761904761905,-3.1004967020592
"244","ID343","JUV",NA,14,NA,NA,14,NA,14,14,NA,10.51,NA,NA,NA,7,NA,7,1,NA,2,NA,2,3.5,7,1,3,7,3.5,-0.195734797297297
"245","ID345","JUV",NA,113,NA,NA,33,NA,33,113,NA,1.32,NA,NA,NA,78,NA,78,1,NA,5,NA,5,15.6,22.6,19,39,78,0.825,-5.5457347972973
"246","ID346","JUV",NA,1,NA,NA,1,NA,1,1,NA,0.02,NA,NA,NA,0,NA,0,1,NA,1,NA,1,0,1,0,0,0,1,-5.1957347972973
"247","ID349","JUV",NA,231,NA,NA,205,NA,205,231,NA,26.88,NA,NA,NA,542,NA,542,1,NA,10,NA,10,54.2,23.1,82,240,542,0.850622406639004,-5.49448998401929
"248","ID350","JUV",NA,58,NA,NA,54,NA,54,58,NA,2.21,NA,NA,NA,254,NA,254,1,NA,6,NA,6,42.3333333333333,9.66666666666667,45,105,254,0.509433962264151,-6.176866872769
"249","ID352","JUV",NA,15,NA,NA,10,NA,10,15,NA,0.13,NA,NA,NA,15,NA,15,1,NA,7,NA,7,2.14285714285714,2.14285714285714,3,8,15,1.11111111111111,-4.97351257507508
"250","ID356","JUV",NA,71,NA,NA,60,NA,60,71,NA,173.12,NA,NA,NA,12,NA,12,1,NA,8,NA,8,1.5,8.875,1,5,12,10,12.8042652027027
"251","ID359","JUV",NA,28,NA,NA,26,NA,26,28,NA,9.88,NA,NA,NA,59,NA,59,1,NA,1,NA,1,59,28,17,31,59,0.8125,-5.5707347972973
"252","ID360","JUV",NA,1,NA,NA,1,NA,1,1,NA,0.02,NA,NA,NA,6,NA,6,1,NA,1,NA,1,6,1,0,3,6,0.25,-6.6957347972973
"253","ID361","JUV",NA,6,NA,NA,6,NA,6,6,NA,2.23,NA,NA,NA,24,NA,24,1,NA,1,NA,1,24,6,10,16,24,0.352941176470588,-6.48985244435612
"254","ID365","FAY",NA,NA,163,NA,NA,141,141,163,NA,NA,78.73,NA,NA,NA,54,54,1,NA,NA,39,39,1.38461538461538,4.17948717948718,10,25,54,5.42307692307692,3.65041904885655
"255","ID367","FAO",NA,NA,40,NA,NA,28,28,40,NA,NA,3.11,NA,NA,NA,76,76,1,NA,NA,14,14,5.42857142857143,2.85714285714286,9,29,76,0.933333333333333,-5.32906813063063
"256","ID370","FAO",NA,47,24,NA,45,19,64,71,NA,9.68,0.96,NA,NA,0,34,34,2,NA,2,5,7,4.85714285714286,10.1428571428571,6,14,34,4.26666666666667,1.33759853603604
"257","ID374","FAO",NA,NA,49,NA,NA,34,34,49,NA,NA,60.06,NA,NA,NA,8,8,1,NA,NA,11,11,0.727272727272727,4.45454545454545,1,2,8,11.3333333333333,15.4709318693694
"258","ID375","JUV",NA,20,NA,NA,15,NA,15,20,NA,3.97,NA,NA,NA,32,NA,32,1,NA,4,NA,4,8,5,7,16,32,0.882352941176471,-5.43102891494436
"259","ID378","JUV",NA,50,NA,NA,36,NA,36,50,NA,45.13,NA,NA,NA,37,NA,37,1,NA,7,NA,7,5.28571428571429,7.14285714285714,6,18,37,1.89473684210526,-3.40626111308677
