"","ID","sexage","events2019-celanoc","events2020-celanoc","events2021-celanoc","events2019","events2020","events2021","events","events-celanoc","minutes2019","minutes2020","minutes2021","minutes","inter2019","inter2020","inter2021","interactions","years","days2019","days2020","days2021","days","interactions_relative","activity_relative","interactions2s","interactions5s","interactions10s","index1","index2"
"199","ID295","FAO",NA,NA,15,NA,NA,15,15,15,NA,NA,121.6,NA,NA,NA,2,2,1,NA,NA,9,9,0.222222222222222,1.66666666666667,0,0,2,15,22.8042652027027
"200","ID296","JUV",NA,37,NA,NA,29,NA,29,37,NA,122.63,NA,NA,NA,10,NA,10,1,NA,3,NA,3,3.33333333333333,12.3333333333333,0,0,10,29,50.8042652027027
"201","ID297","JUV",NA,81,NA,NA,66,NA,66,81,NA,54.12,NA,NA,NA,52,NA,52,1,NA,7,NA,7,7.42857142857143,11.5714285714286,7,20,52,3.14285714285714,-0.910020511583012
"202","ID298","FAO",NA,35,NA,NA,35,NA,35,35,NA,82.19,NA,NA,NA,18,NA,18,1,NA,5,NA,5,3.6,7,3,12,18,2.69230769230769,-1.81111941268191
"203","ID299","FAY",NA,NA,217,NA,NA,186,186,217,NA,NA,59.85,NA,NA,NA,66,66,1,NA,NA,54,54,1.22222222222222,4.01851851851852,17,41,66,4.42857142857143,1.66140805984556
"204","ID301","JUV",NA,226,NA,NA,189,NA,189,226,NA,18.53,NA,NA,NA,44,NA,44,1,NA,11,NA,11,4,20.5454545454545,11,16,44,11.1176470588235,15.0395593203498
"205","ID302","JUV",NA,65,NA,NA,49,NA,49,65,NA,1.33,NA,NA,NA,90,NA,90,1,NA,6,NA,6,15,10.8333333333333,16,38,90,1.25641025641026,-4.68291428447678
"206","ID303","JUV",NA,224,NA,NA,173,NA,173,224,NA,80.21,NA,NA,NA,143,NA,143,1,NA,19,NA,19,7.52631578947368,11.7894736842105,34,66,143,2.58208955223881,-2.03155569281969
"207","ID304","JUV",NA,8,NA,NA,6,NA,6,8,NA,2.8,NA,NA,NA,6,NA,6,1,NA,2,NA,2,3,4,1,3,6,1.5,-4.1957347972973
"208","ID305","JUV",NA,107,NA,NA,63,NA,63,107,NA,31.18,NA,NA,NA,113,NA,113,1,NA,13,NA,13,8.69230769230769,8.23076923076923,20,58,113,1.06779661016949,-5.06014157695831
"209","ID306","JUV",NA,247,NA,NA,148,NA,148,247,NA,119.22,NA,NA,NA,11,NA,11,1,NA,8,NA,8,1.375,30.875,0,3,11,37,66.8042652027027
"210","ID307","FAO",NA,3,122,NA,3,104,107,125,NA,28.75,63.79,NA,NA,0,19,19,2,NA,1,31,32,0.59375,3.90625,2,5,19,17.8333333333333,28.4709318693694
"211","ID308","JUV",NA,227,NA,NA,160,NA,160,227,NA,110.78,NA,NA,NA,178,NA,178,1,NA,14,NA,14,12.7142857142857,16.2142857142857,36,77,178,2.05128205128205,-3.0931706947332
"212","ID309","JUV",NA,163,NA,NA,131,NA,131,163,NA,34.4,NA,NA,NA,84,NA,84,1,NA,14,NA,14,6,11.6428571428571,18,41,84,3.11904761904762,-0.957639559202059
"213","ID310","JUV",NA,160,NA,NA,98,NA,98,160,NA,122.75,NA,NA,NA,81,NA,81,1,NA,7,NA,7,11.5714285714286,22.8571428571429,7,23,81,4.08333333333333,0.970931869369369
"214","ID312","FAY",NA,NA,227,NA,NA,174,174,227,NA,NA,8.21,NA,NA,NA,108,108,1,NA,NA,41,41,2.63414634146341,5.53658536585366,15,56,108,3.05263157894737,-1.09047163940256
"215","ID313","JUV",NA,49,NA,NA,29,NA,29,49,NA,119.54,NA,NA,NA,60,NA,60,1,NA,4,NA,4,15,12.25,9,32,60,0.878787878787879,-5.43815903972154
